Marsh,Period,Location,Replicate,Primer,Strain
AC,E,C,1,P1,R
CC,E,C,1,P1,R
HC,E,C,1,P1,R
PC,E,C,1,P1,R
WC,E,C,1,P1,R
NG,E,C,1,P1,R
HS,E,C,1,P1,R
AC,E,C,2,P1,R
CC,E,C,2,P1,R
HC,E,C,2,P1,R
PC,E,C,2,P1,R
WC,E,C,2,P1,R
NG,E,C,2,P1,R
HS,E,C,2,P1,R
AC,E,C,3,P1,R
CC,E,C,3,P1,R
HC,E,C,3,P1,R
PC,E,C,3,P1,R
WC,E,C,3,P1,R
NG,E,C,3,P1,R
HS,E,C,3,P1,R
AC,P,C,1,P1,R
CC,P,C,1,P1,R
HC,P,C,1,P1,R
PC,P,C,1,P1,R
WC,P,C,1,P1,R
NG,P,C,1,P1,R
HS,P,C,1,P1,R
AC,P,C,2,P1,R
CC,P,C,2,P1,R
HC,P,C,2,P1,R
PC,P,C,2,P1,R
WC,P,C,2,P1,R
NG,P,C,2,P1,R
HS,P,C,2,P1,R
AC,P,C,3,P1,R
CC,P,C,3,P1,R
HC,P,C,3,P1,R
PC,P,C,3,P1,R
WC,P,C,3,P1,R
NG,P,C,3,P1,R
HS,P,C,3,P1,R
AC,L,C,1,P1,R
CC,L,C,1,P1,R
HC,L,C,1,P1,R
PC,L,C,1,P1,R
WC,L,C,1,P1,R
NG,L,C,1,P1,R
HS,L,C,1,P1,R
AC,L,C,2,P1,R
CC,L,C,2,P1,R
HC,L,C,2,P1,R
PC,L,C,2,P1,R
WC,L,C,2,P1,R
NG,L,C,2,P1,R
HS,L,C,2,P1,R
AC,L,C,3,P1,R
CC,L,C,3,P1,R
HC,L,C,3,P1,R
PC,L,C,3,P1,R
WC,L,C,3,P1,R
NG,L,C,3,P1,R
HS,L,C,3,P1,R
AC,E,R,1,P1,R
CC,E,R,1,P1,R
HC,E,R,1,P1,R
PC,E,R,1,P1,R
WC,E,R,1,P1,R
NG,E,R,1,P1,R
HS,E,R,1,P1,R
AC,E,R,2,P1,R
CC,E,R,2,P1,R
HC,E,R,2,P1,R
PC,E,R,2,P1,R
WC,E,R,2,P1,R
NG,E,R,2,P1,R
HS,E,R,2,P1,R
AC,E,R,3,P1,R
CC,E,R,3,P1,R
HC,E,R,3,P1,R
PC,E,R,3,P1,R
WC,E,R,3,P1,R
NG,E,R,3,P1,R
HS,E,R,3,P1,R
AC,P,R,1,P1,R
CC,P,R,1,P1,R
HC,P,R,1,P1,R
PC,P,R,1,P1,R
WC,P,R,1,P1,R
NG,P,R,1,P1,R
HS,P,R,1,P1,R
AC,P,R,2,P1,R
CC,P,R,2,P1,R
HC,P,R,2,P1,R
PC,P,R,2,P1,R
WC,P,R,2,P1,R
NG,P,R,2,P1,R
HS,P,R,2,P1,R
AC,P,R,3,P1,R
CC,P,R,3,P1,R
HC,P,R,3,P1,R
PC,P,R,3,P1,R
WC,P,R,3,P1,R
NG,P,R,3,P1,R
HS,P,R,3,P1,R
AC,L,R,1,P1,R
CC,L,R,1,P1,R
HC,L,R,1,P1,R
PC,L,R,1,P1,R
WC,L,R,1,P1,R
NG,L,R,1,P1,R
HS,L,R,1,P1,R
AC,L,R,2,P1,R
CC,L,R,2,P1,R
HC,L,R,2,P1,R
PC,L,R,2,P1,R
WC,L,R,2,P1,R
NG,L,R,2,P1,R
HS,L,R,2,P1,R
AC,L,R,3,P1,R
CC,L,R,3,P1,R
HC,L,R,3,P1,R
PC,L,R,3,P1,R
WC,L,R,3,P1,R
NG,L,R,3,P1,R
HS,L,R,3,P1,R
AC,E,W,1,P1,R
CC,E,W,1,P1,R
HC,E,W,1,P1,R
PC,E,W,1,P1,R
WC,E,W,1,P1,R
NG,E,W,1,P1,R
HS,E,W,1,P1,R
AC,E,W,2,P1,R
CC,E,W,2,P1,R
HC,E,W,2,P1,R
PC,E,W,2,P1,R
WC,E,W,2,P1,R
NG,E,W,2,P1,R
HS,E,W,2,P1,R
AC,E,W,3,P1,R
CC,E,W,3,P1,R
HC,E,W,3,P1,R
PC,E,W,3,P1,R
WC,E,W,3,P1,R
NG,E,W,3,P1,R
HS,E,W,3,P1,R
AC,P,W,1,P1,R
CC,P,W,1,P1,R
HC,P,W,1,P1,R
PC,P,W,1,P1,R
WC,P,W,1,P1,R
NG,P,W,1,P1,R
HS,P,W,1,P1,R
AC,P,W,2,P1,R
CC,P,W,2,P1,R
HC,P,W,2,P1,R
PC,P,W,2,P1,R
WC,P,W,2,P1,R
NG,P,W,2,P1,R
HS,P,W,2,P1,R
AC,P,W,3,P1,R
CC,P,W,3,P1,R
HC,P,W,3,P1,R
PC,P,W,3,P1,R
WC,P,W,3,P1,R
NG,P,W,3,P1,R
HS,P,W,3,P1,R
AC,L,W,1,P1,R
CC,L,W,1,P1,R
HC,L,W,1,P1,R
PC,L,W,1,P1,R
WC,L,W,1,P1,R
NG,L,W,1,P1,R
HS,L,W,1,P1,R
AC,L,W,2,P1,R
