MarshCode,HiveLocation,HiveCode,SamplingPeriod,SampleCode,VialNo,TubeNo,WeightG,IdCran,SpeciesType,DateClosed,DateCollected,ClosedSky,CollectedSky,ClosedWeather,CollectedWeather,Country,State,County,LandscapeType,Woodland,OpenNatural,Lat,Long,AreaM,TotalWeight,PropWeight
WC,R,WCR,EB1,WCR-EB1,1,1,2.577,CRAN,1,23-Jun,24-Jun,Clear,Cloudy,Just right,Just right,US,WI,Warrens,HW,61.83,26.25,43.970216,-90.2859861,NA,9.426,0.27
WC,R,WCR,EB1,WCR-EB1,1,2,0.842,NON,25,23-Jun,24-Jun,Clear,Cloudy,Just right,Just right,US,WI,Warrens,HW,61.83,26.25,43.970216,-90.2859861,NA,9.426,0.09
WC,R,WCR,EB1,WCR-EB1,1,3,0.027,NON,5,23-Jun,24-Jun,Clear,Cloudy,Just right,Just right,US,WI,Warrens,HW,61.83,26.25,43.970216,-90.2859861,NA,9.426,0
WC,C,WCC,PB2,WCC-PB2,1,1,2.872,CRAN,1,23-Jun,24-Jun,Clear,Cloudy,Just right,Just right,US,WI,Warrens,HW,61.83,26.25,43.970216,-90.2859861,NA,2.894,0.99
WC,C,WCC,PB2,WCC-PB2,1,2,0.017,NON,11,23-Jun,24-Jun,Clear,Cloudy,Just right,Just right,US,WI,Warrens,HW,61.83,26.25,43.970216,-90.2859861,NA,2.894,0.01
WC,C,WCC,PB2,WCC-PB2,1,3,0.005,NON,26,23-Jun,24-Jun,Clear,Cloudy,Just right,Just right,US,WI,Warrens,HW,61.83,26.25,43.970216,-90.2859861,NA,2.894,0
WC,W,WCW,EB1,WCW-EB1,1,1,1.485,CRAN,1,23-Jun,24-Jun,Clear,Cloudy,Just right,Just right,US,WI,Warrens,HW,61.83,26.25,43.970216,-90.2859861,NA,1.72,0.86
WC,W,WCW,EB1,WCW-EB1,1,2,0.089,NON,11,23-Jun,24-Jun,Clear,Cloudy,Just right,Just right,US,WI,Warrens,HW,61.83,26.25,43.970216,-90.2859861,NA,1.72,0.05
WC,W,WCW,EB1,WCW-EB1,1,3,0.068,NON,25,23-Jun,24-Jun,Clear,Cloudy,Just right,Just right,US,WI,Warrens,HW,61.83,26.25,43.970216,-90.2859861,NA,1.72,0.04
WC,W,WCW,EB1,WCW-EB1,1,4,0.078,NON,11,23-Jun,24-Jun,Clear,Cloudy,Just right,Just right,US,WI,Warrens,HW,61.83,26.25,43.970216,-90.2859861,NA,1.72,0.05
WC,C,WCC,EB1,WCC-EB1,1,1,0.13,CRAN,1,23-Jun,24-Jun,Clear,Cloudy,Just right,Just right,US,WI,Warrens,HW,61.83,26.25,43.970216,-90.2859861,NA,0.352,0.37
WC,C,WCC,EB1,WCC-EB1,1,2,0.129,NON,25,23-Jun,24-Jun,Clear,Cloudy,Just right,Just right,US,WI,Warrens,HW,61.83,26.25,43.970216,-90.2859861,NA,0.352,0.37
WC,C,WCC,EB1,WCC-EB1,1,3,0.093,NON,11,23-Jun,24-Jun,Clear,Cloudy,Just right,Just right,US,WI,Warrens,HW,61.83,26.25,43.970216,-90.2859861,NA,0.352,0.26
