Phylum,Class,Order,Family,Genus,Species
Ascomycota,Leotiomycetes,Helotiales,Dermateaceae,Pezicula,ericae
Ascomycota,Leotiomycetes,Helotiales,Dermateaceae,Pezicula,Pezicula
Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Hymenoscyphus,caudatus
Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Hymenoscyphus,menthae
Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Hyaloscypha,finlandica
Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Hyaloscypha,Hyaloscypha
Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Lachnum,virgineum
Ascomycota,Leotiomycetes,Helotiales,Leotiaceae,Pezoloma,ciliifera
Ascomycota,Leotiomycetes,Helotiales,Leotiaceae,Pezoloma,ericae
Ascomycota,Leotiomycetes,Helotiales,unidentified,Cadophora,dextrinospora
Ascomycota,Leotiomycetes,Helotiales,unidentified,Cadophora,Cadophora
Ascomycota,Leotiomycetes,unidentified,Myxotrichaceae,Oidiodendron,citrinum
Ascomycota,Leotiomycetes,unidentified,unidentified,Scytalidium,vaccinii
Basidiomycota,Agaricomycetes,Hymenochaetales,Schizoporaceae,Hyphodontia,pallidula
Basidiomycota,Agaricomycetes,Sebacinales,Serendipitaceae,Serendipita,sp
Basidiomycota,Agaricomycetes,Sebacinales,Serendipitaceae,Serendipita,Serendipita
Basidiomycota,Agaricomycetes,Sebacinales,Serendipitaceae,Serendipita,unidentified
