Phylum,Class,Order,Family,Genus,Species,B8.A,B8.B,B8.C,BA12.A,BA12.B,BA12.C,BB18.A,BB18.B,BB18.C,BL.A,BL.B,BL.C,FD10.A,FD10.B,FD10.C,FD14.A,FD14.B,FD14.C,FD6.A,FD6.B,FD6.C,FRLK.A,FRLK.B,FRLK.C,GN12.A,GN12.B,GN12.C,GW16.A,GW16.B,GW16.C,GW3.A,GW3.B,GW3.C,GYPL.A,GYPL.B,GYPL.C,H11H.A,H11H.B,H11H.C,H24H.A,H24H.B,H24H.C,H7H.A,H7H.B,H7H.C,HW.A,HW.B,HW.C,PC6.A,PC6.B,PC6.C,PF4.A,PF4.B,PF4.C,PG11.A,PG11.B,PG11.C,PMW.A,PMW.B,PMW.C,SHPL.A,SHPL.B,SHPL.C,WABL.A,WABL.B,WABL.C,Control
Ascomycota,Leotiomycetes,Helotiales,Dermateaceae,Pezicula,ericae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002477164,0,0,0.002359033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ascomycota,Leotiomycetes,Helotiales,Dermateaceae,Pezicula,Pezicula,0.001348618,0.000245676,0,0,0,0,0.001700218,0.004251959,0.00401418,0,0,0,0.022111305,0.002292725,0.013923818,0.004514046,0.019569206,0.008051112,0.02081542,0.003382446,0.010968348,0,0.002848841,0,0.003764115,0,0.009321059,0.002100122,0.00363074,0.000280564,0,0,0.001460622,0,0,0,0.010267455,0.005019839,0.001683085,0.005648821,0.007753245,0,0.002989537,0.005201743,0.002120048,0,0,0,0.000183497,0.000248973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Hymenoscyphus,caudatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000600568,0,0,0,0,0,0,0,0
Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Hymenoscyphus,menthae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00273442,0,0,0,0,0,0,0,0,0,0,0,0,0
Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Hyaloscypha,finlandica,0.014969656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010964222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000289973,0,0,0,0,0,0,0,0,0,0,0,0
Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Hyaloscypha,Hyaloscypha,0.007889413,0.01552673,0.017215617,0.013138138,0.093795224,0.027981866,0,0.018647877,0.012876655,0,0,0,0.01372598,0.027512703,0.008219346,0.013194903,0.037983285,0.026179098,0.009959874,0.032391217,0.03849368,0,0,0,0.042220828,0,0.0283084,0.003956044,0.014119545,0.007785649,0.001374256,0.00867249,0,0,0,0,0.01557648,0.002404713,0.017078362,0.008219352,0.040507894,0.004954158,0.025134252,0.061928863,0.011726514,0,0,0,0.016270108,0.010643595,0.02074464,0.032831378,0.020840794,0.009114732,0.031897002,0.017060793,0.007222948,0,0,0,0,0,0,0,0,0,0
Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Lachnum,virgineum,0,0,0,0.001313814,0,0,0,0,0,0,0,0.000472329,0,0,0,0,0.000271795,0,0,0,0,0,0,0,0.000313676,0.003357465,0.000517837,0.001025641,0,0,0,0.00272564,0.000292124,0,0,0,0,0.000120236,0,0,0.002415866,0,0.009466866,0.001757346,0,0,0,0,0.017187596,0,0,0,0,0,0,0,0,0.00872742,0.021620441,0,0,0,0,0,0,0.000520743,0
Ascomycota,Leotiomycetes,Helotiales,Leotiaceae,Pezoloma,ciliifera,0.010182063,0.017148192,0.000194894,0.001438939,0.034008683,0.000625293,0.013941785,0.009475794,0,0,0,0,0,0.009542694,0.000184015,0,0.001698716,0,0,0.000401307,0,0,0,0,0,0.000157381,0.003337169,0,0,0.01641299,0.002494019,0.002911479,0.000408974,0,0,0,0,0.00054106,0,0,0,0,0,0.000773232,0,0.000185644,0,0.000165017,0.011621506,0.005850865,0.003792863,0.040623358,0.006159135,0.003930728,0.023893754,0.010204082,0,0.015086936,0.001528718,0,0,0,0,0,0,0,0.000183722
Ascomycota,Leotiomycetes,Helotiales,Leotiaceae,Pezoloma,ericae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011355082,0,0,0,0,0,0,0,0.002103295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ascomycota,Leotiomycetes,Helotiales,unidentified,Cadophora,dextrinospora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000171989,0,0,0,0,0.000878294,0.000786906,0.000172612,0,0,0,0,0.000309732,0,0,0,0,0,0,0,0,0.003595708,0,0,0,0,0,0,0,0,0,0,0,0,0.008032357,0.001565853,0,0,0,0,0,0,0,0,0,0,0,0
Ascomycota,Leotiomycetes,Helotiales,unidentified,Cadophora,Cadophora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000183497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
