Genus,Specie,Group,Details
Hyaloscypha,hepaticicola,Confirmed ErMF,"Ascomycota; Confirmed ErMF + symbiont of bryophytes; Syn. Pezicula ericae, Hymenoscyphus ericae, Scytalidium ericae, Rhyzoscyphus ericae, Pezoloma ericae, Melinomyces spp., Pezizella ericae"
Oidiodendron,maius,Confirmed ErMF,"Ascomycota (Rice & Currah, 2005; Vohnik 2020)"
Leohumicola,spp.,Confirmed ErMF,"Ascomycota; Interaction with Rhododendron, Grunewaldt-Stocker et al. 2013"
Serendipita,sp. JPK-132 (OP863025),Confirmed ErMF,Basidiomycota
Kurtia,argillacea species complex,Confirmed ErMF,"Basidiomycota (syn. Hyphodontia argillaceum, Hyphoderma argillaceum)"
Cairneyella,variabilis,Confirmed ErMF,Ascomycota
Gamarada,debralockiae,Confirmed ErMF,Ascomycota
Hyaloscypha,gryndleri,Probable ErMF,Probable ErMF
Hyaloscypha,variabilis,Probable ErMF,Probable ErMF + endophyte
Hyaloscypha,bicolor,Possible ErMF,EcMF + Possible ErMF + Endophyte (syn. Meliniomyces bicolor)
Hyaloscypha,finlandica,Possible ErMF,EcMF + Possible ErMF + Endophyte (syn. Cadophora finlandica)
Serendipita,spp.,Possible ErMF,https://link.springer.com/article/10.1007/s00572-016-0717-0#Sec16
Lachnum,pygmaeum,Possible ErMF,https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2022.920338/full
Hyaloscypha,melinii,Standing unclear,(endophyte?); Vohnik ICOM12 presentation 2024
Hyaloscypha,gabretae,Standing unclear,(endophyte?); Vohnik ICOM12 presentation 2024
