ID	Sample_name	Row	Col	Population	Harv_2023_1	Harv_2023_2	Harv_2024_1	Harv_2024_2	Sample_id
#35	No35	106	1	DiversityPanel	NA	NA	NA	NA	No35   106,1
A41S-X3	A41SX3	113	10	DiversityPanel	NA	NA	NA	NA	A41SX3   113,10
A41S-X8	A41SX8	113	11	DiversityPanel	NA	NA	NA	NA	A41SX8   113,11
Bain Fav. #1	BainFav1	106	2	DiversityPanel	NA	NA	NA	NA	BainFav1   106,2
BE4	BE4	106	3	DiversityPanel	NA	NA	NA	NA	BE4   106,3
Ben Lear	BenLear	106	4	DiversityPanel	NA	NA	NA	NA	BenLear   106,4
Bergman	Bergman	106	5	DiversityPanel	NA	NA	NA	NA	Bergman   106,5
BG	BG	106	6	DiversityPanel	NA	NA	NA	NA	BG   106,6
BG-Yellow	BGYellow	106	8	DiversityPanel	NA	NA	NA	NA	BGYellow   106,8
BG48	BG48	106	7	DiversityPanel	NA	NA	NA	NA	BG48   106,7
BL03	BL03	113	13	DiversityPanel	NA	NA	NA	NA	BL03   113,13
BL04	BL04	113	15	DiversityPanel	NA	NA	NA	NA	BL04   113,15
BL05	BL05	113	16	DiversityPanel	NA	NA	NA	NA	BL05   113,16
BL09	BL09	113	17	DiversityPanel	NA	NA	NA	NA	BL09   113,17
BL10 ()	BL10	113	18	DiversityPanel	NA	NA	NA	NA	BL10   113,18
BL14	BL14	113	19	DiversityPanel	NA	NA	NA	NA	BL14   113,19
BL18	BL18	114	1	DiversityPanel	NA	NA	NA	NA	BL18   114,1
BL19	BL19	114	2	DiversityPanel	NA	NA	NA	NA	BL19   114,2
BLM01	BLM01	114	3	DiversityPanel	NA	NA	NA	NA	BLM01   114,3
Budd's Blues	BuddBlue	106	9	DiversityPanel	NA	NA	NA	NA	BuddBlue   106,9
Chip01	Chip01	114	4	DiversityPanel	NA	NA	NA	NA	Chip01   114,4
Chip03	Chip03	114	5	DiversityPanel	NA	NA	NA	NA	Chip03   114,5
Chip05	Chip05	114	6	DiversityPanel	NA	NA	NA	NA	Chip05   114,6
Chip07	Chip07	114	7	DiversityPanel	NA	NA	NA	NA	Chip07   114,7
Chip08	Chip08	114	8	DiversityPanel	NA	NA	NA	NA	Chip08   114,8
Chip10	Chip10	114	9	DiversityPanel	NA	NA	NA	NA	Chip10   114,9
Chip17	Chip17	114	10	DiversityPanel	NA	NA	NA	NA	Chip17   114,10
CNJ10-4-9	CNJ1049	109	5	DiversityPanel	NA	NA	NA	NA	CNJ1049   109,5
Crimson Queen	CrimsonQ	106	10	DiversityPanel	NA	NA	NA	NA	CrimsonQ   106,10
D07	D07	106	11	DiversityPanel	NA	NA	NA	NA	D07   106,11
D8S	D8S	113	12	DiversityPanel	NA	NA	NA	NA	D8S   113,12
Demoranville	Demoranville	106	12	DiversityPanel	NA	NA	NA	NA	Demoranville   106,12
DP14	DP14	109	15	DiversityPanel	NA	NA	NA	NA	DP14   109,15
DP17	DP17	109	16	DiversityPanel	NA	NA	NA	NA	DP17   109,16
Early Black (one off)	EarlyBlack	106	13	DiversityPanel	NA	NA	NA	NA	EarlyBlack   106,13
Franklin	Franklin	106	14	DiversityPanel	NA	NA	NA	NA	Franklin   106,14
FRLK12	FRLK12	114	11	DiversityPanel	NA	NA	NA	NA	FRLK12   114,11
GH1	GH1	106	15	DiversityPanel	NA	NA	NA	NA	GH1   106,15
GYPL17	GYPL17	114	12	DiversityPanel	NA	NA	NA	NA	GYPL17   114,12
GYPL18	GYPL18	114	13	DiversityPanel	NA	NA	NA	NA	GYPL18   114,13
