Sample_name,Row,Col,Population,Sample_code
CNJ04239,1,28,ColorPanel,1-28
CNJ053440,1,20,ColorPanel,1-20
CNJ0823347,1,26,ColorPanel,1-26
CNJ125602,1,21,ColorPanel,1-21
CNJ125604,1,22,ColorPanel,1-22
CNJ125605,1,23,ColorPanel,1-23
CNJ125606,1,24,ColorPanel,1-24
CNJ125607,1,25,ColorPanel,1-25
SD01,1,27,ColorPanel,1-27
CNJ082331,2,20,ColorPanel,2-20
CNJ0823312,2,27,ColorPanel,2-27
CNJ0823315,2,28,ColorPanel,2-28
CNJ0823338,2,25,ColorPanel,2-25
CNJ12561301,2,21,ColorPanel,2-21
CNJ125614,2,23,ColorPanel,2-23
CNJ12561701,2,24,ColorPanel,2-24
Stevens11,2,22,ColorPanel,2-22
Stevens19,2,26,ColorPanel,2-26
CNJ0823335,3,23,ColorPanel,3-23
CNJ0823346,3,27,ColorPanel,3-27
CNJ0823354,3,22,ColorPanel,3-22
CNJ0823357,3,24,ColorPanel,3-24
CNJ0823358,3,25,ColorPanel,3-25
CNJ0823362,3,20,ColorPanel,3-20
CNJ0823381,3,28,ColorPanel,3-28
CNJ125631,3,21,ColorPanel,3-21
CNJ125643,3,26,ColorPanel,3-26
CNJ0423703,4,26,ColorPanel,4-26
CNJ125650,4,20,ColorPanel,4-20
CNJ125651,4,21,ColorPanel,4-21
CNJ125652,4,22,ColorPanel,4-22
CNJ125654,4,23,ColorPanel,4-23
CNJ125656,4,27,ColorPanel,4-27
SD02,4,25,ColorPanel,4-25
SD38,4,28,ColorPanel,4-28
Stevens09,4,24,ColorPanel,4-24
CNJ0823364,5,27,ColorPanel,5-27
CNJ0823373,5,28,ColorPanel,5-28
CNJ125658,5,20,ColorPanel,5-20
CNJ125659,5,22,ColorPanel,5-22
CNJ125663,5,25,ColorPanel,5-25
SD03,5,23,ColorPanel,5-23
SD04,5,24,ColorPanel,5-24
SD39,5,26,ColorPanel,5-26
Stevens07,5,21,ColorPanel,5-21
CNJ0423704,6,21,ColorPanel,6-21
CNJ0823369,6,23,ColorPanel,6-23
CNJ0823371,6,28,ColorPanel,6-28
CNJ125667,6,20,ColorPanel,6-20
CNJ125668,6,22,ColorPanel,6-22
CNJ125671,6,25,ColorPanel,6-25
CNJ125673,6,26,ColorPanel,6-26
SD05,6,24,ColorPanel,6-24
Stevens04,6,27,ColorPanel,6-27
CNJ0823319,7,28,ColorPanel,7-28
CNJ125677,7,21,ColorPanel,7-21
CNJ125685,7,22,ColorPanel,7-22
SD06,7,20,ColorPanel,7-20
SD07,7,23,ColorPanel,7-23
SD08,7,25,ColorPanel,7-25
SD09,7,26,ColorPanel,7-26
