ID	Experiment	Genotyped
#35	Diversity panel	Yes
Bain Fav. #1	Diversity panel	Yes
BE4	Diversity panel	Yes
Ben Lear	Diversity panel	Yes
Bergman	Diversity panel	Yes
BG	Diversity panel	Yes
BG48	Diversity panel	Yes
BG-Yellow	Diversity panel	Yes
Budd's Blues	Diversity panel	Yes
Crimson Queen	Diversity panel	Yes
D07	Diversity panel	Yes
Demoranville	Diversity panel	Yes
Early Black (one off)	Diversity panel	No
Franklin	Diversity panel	Yes
GH1	Diversity panel	Yes
Harju	Diversity panel	Yes
Howes	Diversity panel	Yes
HyRed	Diversity panel	Yes
J21	Diversity panel	Yes
LoRed	Diversity panel	Yes
Mullica Queen	Diversity panel	Yes
Pilgrim King	Diversity panel	Yes
Potter's Favorite	Diversity panel	Yes
Ruby Star	Diversity panel	Yes
ST	Diversity panel	Yes
Sundance	Diversity panel	Yes
V07	Diversity panel	Yes
V11	Diversity panel	Yes
Wilcox	Diversity panel	Yes
WSU108	Diversity panel	Yes
Yellow Bell	Diversity panel	Yes
YBS01	Diversity panel	Yes
YBS02	Diversity panel	Yes
YBS05	Diversity panel	Yes
YBS06	Diversity panel	Yes
YBS07	Diversity panel	Yes
YBS08	Diversity panel	Yes
YBS09	Diversity panel	Yes
YBS10	Diversity panel	Yes
YBS11	Diversity panel	Yes
YBS12	Diversity panel	Yes
YBS13	Diversity panel	Yes
YBS14	Diversity panel	Yes
YBS16	Diversity panel	Yes
YBS17	Diversity panel	Yes
YBS18	Diversity panel	Yes
YBS19	Diversity panel	Yes
YBS20	Diversity panel	Yes
YBS21	Diversity panel	Yes
YBS22	Diversity panel	Yes
YBS23	Diversity panel	Yes
MG02	Diversity panel	Yes
MG03	Diversity panel	Yes
MG04	Diversity panel	Yes
MG07	Diversity panel	Yes
MG09	Diversity panel	Yes
MG12	Diversity panel	Yes
Murphy's Green (a)	Diversity panel	Yes
Murphy's Green	Diversity panel	Yes
CNJ10-4-9	Diversity panel	Yes
QS01	Diversity panel	Yes
QS02	Diversity panel	Yes
QS03	Diversity panel	Yes
QS04	Diversity panel	Yes
QS05	Diversity panel	Yes
QS06	Diversity panel	Yes
QS07	Diversity panel	Yes
QS08	Diversity panel	Yes
DP14	Diversity panel	Yes
DP17	Diversity panel	Yes
WC16-026	Diversity panel	Yes
WC12-001	Diversity panel	Yes
WC12-006	Diversity panel	Yes
WC12-008	Diversity panel	Yes
WC12-012	Diversity panel	Yes
WC12-014	Diversity panel	Yes
WC12-017	Diversity panel	Yes
WC12-032	Diversity panel	Yes
WC12-090	Diversity panel	Yes
WC12-091	Diversity panel	Yes
WC12-101	Diversity panel	Yes
WC12-104	Diversity panel	Yes
WC12-110	Diversity panel	Yes
WC12-112	Diversity panel	Yes
WC12-114	Diversity panel	Yes
WC12-131	Diversity panel	Yes
WC12-132	Diversity panel	Yes
WC12-133	Diversity panel	Yes
WC12-153	Diversity panel	Yes
WC12-199	Diversity panel	Yes
WC12-221	Diversity panel	Yes
WC12-232	Diversity panel	Yes
WC12-280	Diversity panel	Yes
WC12-288	Diversity panel	Yes
WC12-325	Diversity panel	Yes
WC12-326	Diversity panel	Yes
WC12-332	Diversity panel	Yes
WC12-1190	Diversity panel	Yes
WC16-004	Diversity panel	Yes
WC16-011	Diversity panel	Yes
WC16-014	Diversity panel	Yes
WC16-017	Diversity panel	Yes
WC16-018	Diversity panel	Yes
WC16-023	Diversity panel	Yes
WC16-027	Diversity panel	Yes
WC16-029	Diversity panel	Yes
WC16-034	Diversity panel	Yes
WC16-036	Diversity panel	Yes
WC16-037	Diversity panel	Yes
WC16-040	Diversity panel	Yes
WC16-041	Diversity panel	Yes
WC16-042	Diversity panel	Yes
WC16-043	Diversity panel	Yes
WC16-049	Diversity panel	Yes
WC16-051	Diversity panel	Yes
WC16-054	Diversity panel	Yes
WC16-056	Diversity panel	Yes
WC16-058	Diversity panel	Yes
WC16-059	Diversity panel	Yes
WC16-060	Diversity panel	Yes
WC16-061	Diversity panel	Yes
WC16-062	Diversity panel	Yes
WC16-063	Diversity panel	Yes
WC16-066	Diversity panel	Yes
WC16-067	Diversity panel	Yes
WC16-068	Diversity panel	Yes
WC16-070	Diversity panel	Yes
WC16-071	Diversity panel	Yes
WC16-072	Diversity panel	Yes
WC16-073	Diversity panel	Yes
WC17-001	Diversity panel	Yes
