Code,ID,Experiment,Genotyped
VAC_155005_P001_WA01,#35,Diversity panel,Yes
VAC_155005_P001_WA02,Budd's Blues,Diversity panel,Yes
VAC_155005_P001_WA03,Howes,Diversity panel,Yes
VAC_155005_P001_WA04,ST,Diversity panel,Yes
VAC_155005_P001_WA05,YBS02,Diversity panel,Yes
VAC_155005_P001_WA06,YBS12,Diversity panel,Yes
VAC_155005_P001_WA07,YBS21,Diversity panel,Yes
VAC_155005_P001_WA08,MG12,Diversity panel,Yes
VAC_155005_P001_WA09,QS05,Diversity panel,Yes
VAC_155005_P001_WA10,WC12-006,Diversity panel,Yes
VAC_155005_P001_WA11,WC12-101,Diversity panel,Yes
VAC_155005_P001_WA12,WC12-153,Diversity panel,Yes
VAC_155005_P001_WB01,Bain Fav. #1,Diversity panel,Yes
VAC_155005_P001_WB02,Crimson Queen,Diversity panel,Yes
VAC_155005_P001_WB03,HyRed,Diversity panel,Yes
VAC_155005_P001_WB04,Sundance,Diversity panel,Yes
VAC_155005_P001_WB05,YBS05,Diversity panel,Yes
VAC_155005_P001_WB06,YBS13,Diversity panel,Yes
VAC_155005_P001_WB07,YBS22,Diversity panel,Yes
VAC_155005_P001_WB08,Murphy's Green (a),Diversity panel,Yes
VAC_155005_P001_WB09,QS06,Diversity panel,Yes
VAC_155005_P001_WB10,WC12-008,Diversity panel,Yes
VAC_155005_P001_WB11,WC12-104,Diversity panel,Yes
VAC_155005_P001_WB12,WC12-199,Diversity panel,Yes
VAC_155005_P001_WC01,BE4,Diversity panel,Yes
VAC_155005_P001_WC02,D07,Diversity panel,Yes
VAC_155005_P001_WC03,J21,Diversity panel,Yes
VAC_155005_P001_WC04,V07,Diversity panel,Yes
VAC_155005_P001_WC05,YBS06,Diversity panel,Yes
VAC_155005_P001_WC06,YBS14,Diversity panel,Yes
VAC_155005_P001_WC07,YBS23,Diversity panel,Yes
VAC_155005_P001_WC08,Murphy's Green,Diversity panel,Yes
VAC_155005_P001_WC09,QS07,Diversity panel,Yes
VAC_155005_P001_WC10,WC12-012,Diversity panel,Yes
VAC_155005_P001_WC11,WC12-110,Diversity panel,Yes
VAC_155005_P001_WC12,WC12-221,Diversity panel,Yes
VAC_155005_P001_WD01,Ben Lear,Diversity panel,Yes
VAC_155005_P001_WD02,Demoranville,Diversity panel,Yes
VAC_155005_P001_WD03,LoRed,Diversity panel,Yes
VAC_155005_P001_WD04,V11,Diversity panel,Yes
VAC_155005_P001_WD05,YBS07,Diversity panel,Yes
VAC_155005_P001_WD06,YBS16,Diversity panel,Yes
VAC_155005_P001_WD07,MG02,Diversity panel,Yes
VAC_155005_P001_WD08,CNJ10-4-9,Diversity panel,Yes
VAC_155005_P001_WD09,QS08,Diversity panel,Yes
VAC_155005_P001_WD10,WC12-014,Diversity panel,Yes
VAC_155005_P001_WD11,WC12-112,Diversity panel,Yes
VAC_155005_P001_WD12,WC12-232,Diversity panel,Yes
VAC_155005_P001_WE01,Bergman,Diversity panel,Yes
VAC_155005_P001_WE02,Early Black,NA,NA
VAC_155005_P001_WE03,Mullica Queen,Diversity panel,Yes
VAC_155005_P001_WE04,Wilcox,Diversity panel,Yes
VAC_155005_P001_WE05,YBS08,Diversity panel,Yes
VAC_155005_P001_WE06,YBS17,Diversity panel,Yes
VAC_155005_P001_WE07,MG03,Diversity panel,Yes
VAC_155005_P001_WE08,QS01,Diversity panel,Yes
VAC_155005_P001_WE09,DP14,Diversity panel,Yes
VAC_155005_P001_WE10,WC12-017,Diversity panel,Yes
VAC_155005_P001_WE11,WC12-114,Diversity panel,Yes
VAC_155005_P001_WE12,WC12-280,Diversity panel,Yes
VAC_155005_P001_WF01,BG,Diversity panel,Yes
VAC_155005_P001_WF02,Franklin,Diversity panel,Yes
VAC_155005_P001_WF03,Pilgrim King,Diversity panel,Yes
VAC_155005_P001_WF04,WSU108,Diversity panel,Yes
VAC_155005_P001_WF05,YBS09,Diversity panel,Yes
VAC_155005_P001_WF06,YBS18,Diversity panel,Yes
VAC_155005_P001_WF07,MG04,Diversity panel,Yes
VAC_155005_P001_WF08,QS02,Diversity panel,Yes
VAC_155005_P001_WF09,DP17,Diversity panel,Yes
VAC_155005_P001_WF10,WC12-032,Diversity panel,Yes
VAC_155005_P001_WF11,WC12-131,Diversity panel,Yes
VAC_155005_P001_WF12,WC12-288,Diversity panel,Yes
VAC_155005_P001_WG01,BG48,Diversity panel,Yes
VAC_155005_P001_WG02,GH1,Diversity panel,Yes
VAC_155005_P001_WG03,Potter's Favorite,Diversity panel,Yes
VAC_155005_P001_WG04,Yellow Bell,Diversity panel,Yes
VAC_155005_P001_WG05,YBS10,Diversity panel,Yes
VAC_155005_P001_WG06,YBS19,Diversity panel,Yes
VAC_155005_P001_WG07,MG07,Diversity panel,Yes
VAC_155005_P001_WG08,QS03,Diversity panel,Yes
VAC_155005_P001_WG09,WC16-026,Diversity panel,Yes
VAC_155005_P001_WG10,WC12-090,Diversity panel,Yes
VAC_155005_P001_WG11,WC12-132,Diversity panel,Yes
VAC_155005_P001_WH01,BG-Yellow,Diversity panel,Yes
VAC_155005_P001_WH02,Harju,Diversity panel,Yes
VAC_155005_P001_WH03,Ruby Star,Diversity panel,Yes
VAC_155005_P001_WH04,YBS01,Diversity panel,Yes
VAC_155005_P001_WH05,YBS11,Diversity panel,Yes
VAC_155005_P001_WH06,YBS20,Diversity panel,Yes
VAC_155005_P001_WH07,MG09,Diversity panel,Yes
VAC_155005_P001_WH08,QS04,Diversity panel,Yes
VAC_155005_P001_WH09,WC12-001,Diversity panel,Yes
VAC_155005_P001_WH10,WC12-091,Diversity panel,Yes
VAC_155005_P001_WH11,WC12-133,Diversity panel,Yes
VAC_155005_P002_WA01,WC12-332,Diversity panel,Yes
VAC_155005_P002_WA02,WC16-027,Diversity panel,Yes
VAC_155005_P002_WA03,WC16-043,Diversity panel,Yes
VAC_155005_P002_WA04,WC16-061,Diversity panel,Yes
VAC_155005_P002_WA05,WC16-072,Diversity panel,Yes
VAC_155005_P002_WA06,D8S,Diversity panel,Yes
VAC_155005_P002_WA07,BL19,Diversity panel,Yes
VAC_155005_P002_WA08,Chip17,Diversity panel,Yes
VAC_155005_P002_WA09,HAWL05,Diversity panel,Yes
VAC_155005_P002_WA10,LL14,Diversity panel,Yes
VAC_155005_P002_WA11,LRL02,Diversity panel,Yes
VAC_155005_P002_WA12,PMW02,Diversity panel,Yes
VAC_155005_P002_WB01,WC12-1190,Diversity panel,Yes
VAC_155005_P002_WB02,WC16-029,Diversity panel,Yes
VAC_155005_P002_WB03,WC16-049,Diversity panel,Yes
VAC_155005_P002_WB04,WC16-062,Diversity panel,Yes
VAC_155005_P002_WB05,WC16-073,Diversity panel,Yes
