Sample_name,Fruit_n,Total_weight,Harvest,Harvest_year,Population,Avg_weight,Comments,Date,Person,
NO351635,36,64.84,1,2023,Color Population,1.801,,9/14/23,Alejandra,
A41SX3,42,55.74,1,2023,Diversity Panel,1.327,,19/09/2023,Alejandra,
A41SX8,35,27.41,1,2023,Diversity Panel,0.783,,21/09/2023,Ivan,
BAINFAV1,35,82.63,1,2023,Diversity Panel,2.361,,22/09/2023,Ivan,
BE4,35,45.35,1,2023,Diversity Panel,1.296,,19/09/2023,Alejandra,
BENLEAR,35,63.73,1,2023,Diversity Panel,1.821,,20/09/2023,Ivan,
BenLear1284,38,75.35,1,2023,Color Population,1.983,,9/14/23,Alejandra,
BERGMAN,35,46.84,1,2023,Diversity Panel,1.338,,20/09/2023,Ivan,
BG,39,82.95,1,2023,Diversity Panel,2.127,Fruit shape variation,18/09/2023,Alejandra,
BG48,35,55.43,1,2023,Diversity Panel,1.584,,19/09/2023,Alejandra,
BGYELLOW,33,63.79,1,2023,Diversity Panel,1.933,,18/09/2023,Ivan,
BL03,38,51.74,1,2023,Diversity Panel,1.362,,20/09/2023,Ivan,
BL04,37,61.66,1,2023,Diversity Panel,1.666,,24/09/2023,Alejandra,
BL05,36,48.52,1,2023,Diversity Panel,1.348,,22/09/2023,Ivan,
BL09,5,5.77,1,2023,Diversity Panel,1.154,,22/09/2023,Ivan,
BL10,19,27.43,1,2023,Diversity Panel,1.444,,21/09/2023,Ivan,
BL14,32,45.86,1,2023,Diversity Panel,1.433,,18/09/2023,Ivan,
BL18,34,43.23,1,2023,Diversity Panel,1.271,,21/09/2023,Ivan,
BL19,38,50.17,1,2023,Diversity Panel,1.32,,21/09/2023,Ivan,
BLM01,34,13.94,1,2023,Diversity Panel,0.41,,19/09/2023,Alejandra,
BuddBlue,38,36.46,1,2023,Diversity Panel,0.959,,19/09/2023,Alejandra,
CHIP01,37,34.98,1,2023,Diversity Panel,0.945,,20/09/2023,Ivan,
CHIP03,35,35.09,1,2023,Diversity Panel,1.003,,20/09/2023,Ivan,
CHIP05,35,36.99,1,2023,Diversity Panel,1.057,,18/09/2023,Ivan,
CHIP07,37,39.35,1,2023,Diversity Panel,1.064,,19/09/2023,Alejandra,
CHIP08,30,34.23,1,2023,Diversity Panel,1.141,,18/09/2023,Ivan,
CHIP10,40,44.43,1,2023,Diversity Panel,1.111,,18/09/2023,Ivan,
CHIP17,38,44.32,1,2023,Diversity Panel,1.166,,19/09/2023,Alejandra,
CNJ0423704,0,0,1,2023,Color Population,0,0,9/18/23,Alejandra,
CNJ04237,32,60.21,1,2023,Color Population,1.882,,9/16/23,Ivan,
CNJ04237,38,66.84,1,2023,Color Population,1.759,,9/14/23,Alejandra,
CNJ04237,45,69.74,1,2023,Color Population,1.55,,9/15/23,Ivan,
CNJ04239,36,55.75,1,2023,Color Population,1.549,,9/14/23,Alejandra,
CNJ053440,48,79.91,1,2023,Color Population,1.665,,9/14/23,Alejandra,
CNJ053440,49,76.15,1,2023,Color Population,1.554,,9/15/23,Ivan,
CNJ082331,35,42.35,1,2023,Color Population,1.21,,9/14/23,Alejandra,
CNJ0823312,36,58.36,1,2023,Color Population,1.621,,9/14/23,Alejandra,
CNJ0823315,35,64.64,1,2023,Color Population,1.847,,9/14/23,Alejandra,
CNJ0823319,39,54.52,1,2023,Color Population,1.398,,9/14/23,Alejandra,
CNJ0823321,34,64.84,1,2023,Color Population,1.907,,9/16/23,Ivan,
CNJ0823323,37,49.92,1,2023,Color Population,1.349,,9/14/23,Alejandra,
CNJ0823324,36,69.22,1,2023,Color Population,1.923,,9/15/23,Ivan,
CNJ0823326,39,58.72,1,2023,Color Population,1.506,,9/14/23,Alejandra,
CNJ0823331,22,59.28,1,2023,Color Population,2.695,,9/16/23,Ivan,
CNJ0823332,30,42.5,1,2023,Color Population,1.417,,9/14/23,Alejandra,
CNJ0823335,36,72.76,1,2023,Color Population,2.021,,9/15/23,Ivan,
CNJ0823336,35,63.73,1,2023,Color Population,1.821,,9/16/23,Ivan,
CNJ0823337,35,55.04,1,2023,Color Population,1.573,,9/14/23,Alejandra,
CNJ0823338,36,46.99,1,2023,Color Population,1.305,,9/15/23,Alejandra,
CNJ0823341,35,49.42,1,2023,Color Population,1.412,,9/15/23,Alejandra,
CNJ0823343,35,56.88,1,2023,Color Population,1.625,,9/15/23,Alejandra,
CNJ0823346,40,74.5,1,2023,Color Population,1.863,,9/14/23,Alejandra,
CNJ0823347,36,54.47,1,2023,Color Population,1.513,,9/15/23,Alejandra,
CNJ0823349,36,54.01,1,2023,Color Population,1.5,,9/15/23,Ivan,
CNJ0823351,27,26.09,1,2023,Color Population,0.966,,9/15/23,Ivan,
CNJ0823354,36,64.15,1,2023,Color Population,1.782,,9/15/23,Alejandra,
CNJ0823357,36,46.58,1,2023,Color Population,1.294,,9/15/23,Ivan,
CNJ0823358,35,38.03,1,2023,Color Population,1.087,,9/16/23,Ivan,
CNJ0823362,36,49.54,1,2023,Color Population,1.376,,9/14/23,Alejandra,
CNJ0823364,37,64.75,1,2023,Color Population,1.75,,9/14/23,Alejandra,
CNJ0823369,35,65.86,1,2023,Color Population,1.882,,9/15/23,Alejandra,
CNJ0823371,35,45.61,1,2023,Color Population,1.303,,9/14/23,Alejandra,
CNJ0823373,36,52.18,1,2023,Color Population,1.449,,9/14/23,Alejandra,
CNJ0823374,35,54.04,1,2023,Color Population,1.544,,9/16/23,Ivan,
CNJ0823379,35,56.01,1,2023,Color Population,1.6,,9/15/23,Ivan,
CNJ0823381,35,45.77,1,2023,Color Population,1.308,,9/14/23,Alejandra,
CNJ1049,35,51.19,1,2023,Diversity Panel,1.463,,20/09/2023,Ivan,
CNJ125602,34,50.09,1,2023,Color Population,1.473,,9/15/23,Ivan,
CNJ125604,1,1.19,1,2023,Color Population,1.19,,9/15/23,Ivan,
CNJ125605,35,53.93,1,2023,Color Population,1.541,,9/15/23,Ivan,
CNJ125606,0,0,1,2023,Color Population,0,,9/18/23,Alejandra,
CNJ125607,20,23.22,1,2023,Color Population,1.161,,9/15/23,Alejandra,
CNJ1256102,18,19.73,1,2023,Color Population,1.096,,9/15/23,Ivan,
CNJ1256105,0,0,1,2023,Color Population,0,,9/18/23,Alejandra,
CNJ1256106,35,41.95,1,2023,Color Population,1.199,,9/15/23,Ivan,
CNJ1256108,18,37.16,1,2023,Color Population,2.064,,9/16/23,Ivan,
CNJ1256113,5,5.36,1,2023,Color Population,1.072,,9/14/23,Alejandra,
CNJ1256124,33,47.8,1,2023,Color Population,1.448,,9/14/23,Alejandra,
CNJ1256126,0,0,1,2023,Color Population,0,,9/18/23,Alejandra,
CNJ1256129,9,12.93,1,2023,Color Population,1.437,,9/15/23,Ivan,
CNJ125613,35,47.7,1,2023,Color Population,1.363,,9/15/23,Ivan,
CNJ125613,0,0,1,2023,Color Population,0,Incomplete information. Ree did not extracted any from the sample, so I will assume there was no fruits for this plot and add 0 fruits here. ,,
CNJ1256130,37,51.68,1,2023,Color Population,1.397,,9/16/23,Ivan,
CNJ1256135,37,56,1,2023,Color Population,1.514,,9/14/23,Alejandra,
CNJ1256137,15,21.36,1,2023,Color Population,1.424,,9/15/23,Ivan,
CNJ1256139,32,28.49,1,2023,Color Population,0.89,,9/15/23,Ivan,
CNJ125614,36,81.02,1,2023,Color Population,2.251,,9/15/23,Alejandra,
CNJ1256141,35,54.5,1,2023,Color Population,1.557,,9/15/23,Ivan,
CNJ1256142,10,11.7,1,2023,Color Population,1.17,,9/15/23,Ivan,
CNJ1256143,5,7.43,1,2023,Color Population,1.486,,9/16/23,Ivan,
CNJ1256144,16,25.87,1,2023,Color Population,1.617,,9/14/23,Alejandra,
CNJ1256145,35,53.09,1,2023,Color Population,1.517,,9/14/23,Alejandra,
CNJ1256146,0,0,1,2023,Color Population,0,,9/14/23,Alejandra,
CNJ1256147,35,46.34,1,2023,Color Population,1.324,,9/14/23,Alejandra,
