Sample_name,Row,Col,Harvest,Harvest_year,Population,Sample_id,Fruit_n,Total_weight,Avg_weight,Date,Notes
CNJ053440,1,20,1,2024,Color Population,"CNJ053440  1,20",44,70.36,1.59909091,,
CNJ125602,1,21,1,2024,Color Population,"CNJ125602  1,21",34,41.8,1.22941177,25/09/2024,
CNJ125604,1,22,1,2024,Color Population,"CNJ125604  1,22",0,0,0,25/09/24,
CNJ125605,1,23,1,2024,Color Population,"CNJ125605  1,23",44,51.88,1.17909091,24/09/2024,
CNJ125606,1,24,1,2024,Color Population,"CNJ125606  1,24",0,0,0,25/09/2024,
CNJ125607,1,25,1,2024,Color Population,"CNJ125607  1,25",16,14.06,0.87875,24/09/24,"Muy pocos, forma rara, color muy verde"
CNJ0823347,1,26,1,2024,Color Population,"CNJ0823347  1,26",44,78.57,1.78568182,,4 unlabeled bags in bunch
SD01,1,27,1,2024,Color Population,"SD01  1,27",0,0,0,25/09/2024,
CNJ04239,1,28,1,2024,Color Population,"CNJ04239  1,28",50,123.6,2.472,24/09/24,
CNJ1256124,10,20,1,2024,Color Population,"CNJ1256124  10,20",36,47.8,1.32777778,25/09/2024,
CNJ1256126,10,21,1,2024,Color Population,"CNJ1256126  10,21",28,30.04,1.07285714,25/09/2024,
Stevens16,10,22,1,2024,Color Population,"Stevens16  10,22",46,101.33,2.20282609,25/09/24,
SD42,10,23,1,2024,Color Population,"SD42  10,23",0,0,0,25/09/2024,
CNJ1256129,10,24,1,2024,Color Population,"CNJ1256129  10,24",2,1.26,0.63,25/09/2024,
CNJ1256130,10,25,1,2024,Color Population,"CNJ1256130  10,25",43,60.69,1.41139535,25/09/2024,
CNJ0823331,10,26,1,2024,Color Population,"CNJ0823331  10,26",40,66.13,1.65325,25/09/2024,
CNJ1256146,10,27,1,2024,Color Population,"CNJ1256146  10,27",0,0,0,25/09/2024,
SD43,10,28,1,2024,Color Population,"SD43  10,28",0,0,0,25/09/2024,
No35,106,1,1,2024,Diversity Panel,"No35  106,1",41,72.63,1.77146342,25/09/24,
CrimsonQ,106,10,1,2024,Diversity Panel,"CrimsonQ  106,10",41,91.66,2.23560976,25/09/24,
D07,106,11,1,2024,Diversity Panel,"D07  106,11",43,93.33,2.17046512,25/09/24,
Demoranville,106,12,1,2024,Diversity Panel,"Demoranville  106,12",44,98.05,2.22840909,25/09/24,
EarlyBlack,106,13,1,2024,Diversity Panel,"EarlyBlack  106,13",55,53.57,0.974,25/09/24,
Franklin,106,14,1,2024,Diversity Panel,"Franklin  106,14",44,59.45,1.35113636,25/09/24,
GH1,106,15,1,2024,Diversity Panel,"GH1  106,15",53,97.61,1.84169811,25/09/24,
Harju,106,16,1,2024,Diversity Panel,"Harju  106,16",44,93.35,2.12159091,25/09/24,
Howes,106,17,1,2024,Diversity Panel,"Howes  106,17",41,55.84,1.36195122,25/09/24,
HyRed,106,18,1,2024,Diversity Panel,"HyRed  106,18",43,89.07,2.07139535,25/09/24,
J21,106,19,1,2024,Diversity Panel,"J21  106,19",44,92.61,2.10477273,25/09/24,
BainFav1,106,2,1,2024,Diversity Panel,"BainFav1  106,2",44,100.93,2.29386364,,"Bag present, no yellow tag"
BE4,106,3,1,2024,Diversity Panel,"BE4  106,3",45,68.37,1.51933333,25/09/24,
BenLear,106,4,1,2024,Diversity Panel,"BenLear  106,4",43,68.22,1.58651163,25/09/24,
Bergman,106,5,1,2024,Diversity Panel,"Bergman  106,5",40,75.73,1.89325,25/09/2025,
BG,106,6,1,2024,Diversity Panel,"BG  106,6",44,96.73,2.19840909,25/09/24,
BG48,106,7,1,2024,Diversity Panel,"BG48  106,7",42,84.58,2.01380952,,"Bag present, no yellow tag"
BGYellow,106,8,1,2024,Diversity Panel,"BGYellow  106,8",48,92.66,1.93041667,25/09/24,
BuddBlue,106,9,1,2024,Diversity Panel,"BuddBlue  106,9",44,46.9,1.06590909,25/09/24,
LoRed,107,1,1,2024,Diversity Panel,"LoRed  107,1",44,99.39,2.25886364,25/09/2024,
V11,107,10,1,2024,Diversity Panel,"V11  107,10",45,84.96,1.888,25/09/2024,
Wilcox,107,11,1,2024,Diversity Panel,"Wilcox  107,11",41,56.98,1.3897561,25/09/2024,
WSU108,107,12,1,2024,Diversity Panel,"WSU108  107,12",42,72.59,1.72833333,25/09/2024,
YellowBell,107,13,1,2024,Diversity Panel,"YellowBell  107,13",43,35.69,0.83,25/09/2024,
YBS01,107,14,1,2024,Diversity Panel,"YBS01  107,14",44,69.76,1.58545455,25/09/2024,
YBS02,107,15,1,2024,Diversity Panel,"YBS02  107,15",41,77.04,1.87902439,25/09/2024,
YBS05,107,16,1,2024,Diversity Panel,"YBS05  107,16",46,80.02,1.73956522,25/09/2024,
YBS06,107,17,1,2024,Diversity Panel,"YBS06  107,17",48,73.07,1.52229167,25/09/2024,
YBS07,107,18,1,2024,Diversity Panel,"YBS07  107,18",40,71.54,1.7885,25/09/2024,
YBS08,107,19,1,2024,Diversity Panel,"YBS08  107,19",42,57.69,1.37357143,25/09/2024,
Stevens08,107,2,1,2024,Diversity Panel,"Stevens08  107,2",41,92.66,2.26,25/09/2024,
MullicaQ,107,3,1,2024,Diversity Panel,"MullicaQ  107,3",45,110.94,2.46533333,25/09/2024,
PilgrimK,107,4,1,2024,Diversity Panel,"PilgrimK  107,4",45,129.11,2.86911111,25/09/2024,
PottersFav,107,5,1,2024,Diversity Panel,"PottersFav  107,5",43,67.62,1.57255814,25/09/24,
RubyStar,107,6,1,2024,Diversity Panel,"RubyStar  107,6",43,93.98,2.1855814,25/09/2024,
ST,107,7,1,2024,Diversity Panel,"ST  107,7",44,100.94,2.29409091,25/09/2024,
Sundance,107,8,1,2024,Diversity Panel,"Sundance  107,8",43,104.44,2.42883721,25/09/2024,
V07,107,9,1,2024,Diversity Panel,"V07  107,9",51,107.35,2.10490196,25/09/2024,
