Sample_code,Mean_Conc,SD,Sample_name,Row,Col,Population
1-21,73.6005,5.73,CNJ125602,1,21,ColorPanel
10-20,129.458,11.16,CNJ1256124,10,20,ColorPanel
10-25,124.3235,2.95,CNJ1256130,10,25,ColorPanel
10-26,4.175,0.94,CNJ0823331,10,26,ColorPanel
106-13,177.843,3.19,EarlyBlack,106,13,DiversityPanel
106-19,80.3635,7.85,J21,106,19,DiversityPanel
106-3,162.9395,1.36,BE4,106,3,DiversityPanel
106-6,63.5605,8.53,BG,106,6,DiversityPanel
106-7,33.398,4.01,BG48,106,7,DiversityPanel
106-8,14.987,1.12,BGYellow,106,8,DiversityPanel
107-11,89.1305,1.95,Wilcox,107,11,DiversityPanel
107-13,0.668,0.71,YellowBell,107,13,DiversityPanel
107-6,217.002,20.9,RubyStar,107,6,DiversityPanel
107-7,64.332,4.66,ST,107,7,DiversityPanel
107-8,146.616,4.72,Sundance,107,8,DiversityPanel
108-1,14.1525,0.06,YBS09,108,1,DiversityPanel
108-10,1.753,0.47,YBS18,108,10,DiversityPanel
108-13,3.8405,0.35,YBS21,108,13,DiversityPanel
108-19,108.9185,21.2,MG07,108,19,DiversityPanel
108-6,13.902,0.89,YBS13,108,6,DiversityPanel
108-7,12.816,3.25,YBS14,108,7,DiversityPanel
108-8,8.767,1.18,YBS16,108,8,DiversityPanel
108-9,3.7155,1.83,YBS17,108,9,DiversityPanel
109-1,89.4225,12.87,MG09,109,1,DiversityPanel
109-10,51.85,1.18,QS04,109,10,DiversityPanel
109-19,77.5665,1.06,Stevens05,109,19,DiversityPanel
109-6,-20.122,29.17,QS01,109,6,DiversityPanel
109-7,56.0665,5.25,QS02,109,7,DiversityPanel
109-9,83.3275,16.41,Stevens04,109,9,DiversityPanel
11-20,160.6015,11.28,CNJ1256135,11,20,ColorPanel
11-25,51.5995,5.31,Stevens18,11,25,ColorPanel
11-27,-1.753,NA,CNJ1256144,11,27,ColorPanel
11-28,0.7515,0.35,CNJ1256145,11,28,ColorPanel
110-10,82.9935,7.56,WC12104,110,10,DiversityPanel
110-19,154.089,33,WC12153,110,19,DiversityPanel
110-6,105.37,2.36,WC12032,110,6,DiversityPanel
110-8,135.7205,5.73,WC12091,110,8,DiversityPanel
111-13,79.0275,2.54,WC16017,111,13,DiversityPanel
111-19,NA,NA,WC16036,111,19,DiversityPanel
111-3,167.1975,18.95,WC12232,111,3,DiversityPanel
111-6,160.393,NA,WC12325,111,6,DiversityPanel
111-8,88.7545,0.59,WC12332,111,8,DiversityPanel
112-10,91.2595,3.66,Stevens03,112,10,DiversityPanel
112-13,89.5475,1.48,WC16060,112,13,DiversityPanel
112-16,106.8725,9.92,WC16063,112,16,DiversityPanel
112-19,96.8115,8.8,WC16068,112,19,DiversityPanel
112-7,17.3665,2.01,WC16051,112,7,DiversityPanel
112-8,155.383,10.98,WC16054,112,8,DiversityPanel
113-10,256.0355,16,A41SX3,113,10,DiversityPanel
113-13,174.169,1.65,BL03,113,13,DiversityPanel
113-14,259,56.09,Stevens13,113,14,DiversityPanel
113-6,51.349,98.36,WC17001,113,6,DiversityPanel
113-8,53.9375,2.6,WC17003,113,8,DiversityPanel
114-10,131.253,38.02,Chip17,114,10,DiversityPanel
114-13,97.5215,55.61,GYPL18,114,13,DiversityPanel
114-19,165.152,47.47,HW05,114,19,DiversityPanel
114-6,235.204,26.92,Chip05,114,6,DiversityPanel
114-7,193.206,54.2,Chip07,114,7,DiversityPanel
114-8,220.342,3.54,Chip08,114,8,DiversityPanel
114-9,152.3775,2.24,Chip10,114,9,DiversityPanel
115-10,121.4005,30.94,Stevens02,115,10,DiversityPanel
115-13,113.427,1.83,LOLM07,115,13,DiversityPanel
115-19,270.188,8.5,LRL04,115,19,DiversityPanel
115-6,185.191,NA,LL12,115,6,DiversityPanel
115-8,143.861,5.9,LL14,115,8,DiversityPanel
115-9,122.152,23.14,LL15,115,9,DiversityPanel
116-1,297.783,13.28,LRL05,116,1,DiversityPanel
116-10,186.8605,13.7,SHPL13,116,10,DiversityPanel
116-13,170.621,18.01,WABL06,116,13,DiversityPanel
116-19,78.1925,27.33,WC170081,116,19,DiversityPanel
116-6,111.7155,0.59,PMW02,116,6,DiversityPanel
116-7,68.5075,5.73,PMW16,116,7,DiversityPanel
116-8,61.1595,3.37,PMW20,116,8,DiversityPanel
117-10,57.6115,2.24,WC170263,117,10,DiversityPanel
117-13,157.93,3.72,WC170272,117,13,DiversityPanel
117-7,111.924,5.14,WC170241,117,7,DiversityPanel
117-8,54.9395,5.55,WC170251,117,8,DiversityPanel
118-10,125.659,53.73,WC170438,118,10,DiversityPanel
118-11,169.786,20.84,WC170461,118,11,DiversityPanel
118-13,143.2765,2.24,WC170471,118,13,DiversityPanel
118-18,126.9115,25.03,WC170523,118,18,DiversityPanel
118-6,130.0845,3.42,Stevens01,118,6,DiversityPanel
118-8,41.6635,2.48,WC170421,118,8,DiversityPanel
118-9,85.6655,7.79,WC170431,118,9,DiversityPanel
119-10,46.214,0.65,WC170707,119,10,DiversityPanel
119-13,72.056,2.13,WC170743,119,13,DiversityPanel
119-19,158.472,NA,WC170992,119,19,DiversityPanel
119-6,201.514,22.85,WC170651,119,6,DiversityPanel
119-8,222.554,16.59,WC170653,119,8,DiversityPanel
12-20,115.431,7.03,CNJ1256147,12,20,ColorPanel
12-21,65.71,8.38,Stevens05,12,21,ColorPanel
12-26,91.426,11.22,CNJ1256155,12,26,ColorPanel
12-27,9.435,0.94,CNJ0423702,12,27,ColorPanel
13-20,31.7695,1.95,CNJ0823332,13,20,ColorPanel
14-22,92.971,0.65,CNJ0423701,14,22,ColorPanel
14-25,7.055,0.65,CNJ1256179,14,25,ColorPanel
14-26,86.2915,6.79,Stevens13,14,26,ColorPanel
15-20,30.6425,8.74,CNJ0823337,15,20,ColorPanel
15-23,62.788,10.75,CNJ1256188,15,23,ColorPanel
15-26,1.5445,0.18,CNJ1256191,15,26,ColorPanel
15-27,0.3755,0.29,CNJ1256192,15,27,ColorPanel
16-20,123.1125,3.13,CNJ1256195,16,20,ColorPanel
16-25,6.5545,1.12,CNJ0823374,16,25,ColorPanel
16-26,3.173,NA,CNJ1256200,16,26,ColorPanel
16-27,121.443,23.79,Stevens03,16,27,ColorPanel
17-20,2.7555,1.06,CNJ1256202,17,20,ColorPanel
17-21,82.4925,4.13,Stevens17,17,21,ColorPanel
17-24,84.7885,9.74,CNJ125803,17,24,ColorPanel
17-25,162.1045,1.71,CNJ125804,17,25,ColorPanel
17-27,2.505,0.94,CNJ125807,17,27,ColorPanel
18-25,67.0875,1.71,Stevens15,18,25,ColorPanel
18-26,6.596,0.71,CNJ125816,18,26,ColorPanel
18-27,122.069,NA,CNJ125817,18,27,ColorPanel
19-20,2.672,NA,CNJ125821,19,20,ColorPanel
19-21,1.3775,1.48,CNJ125822,19,21,ColorPanel
19-22,96.102,1.89,Stevens14,19,22,ColorPanel
19-25,2.839,2.6,CNJ125825,19,25,ColorPanel
19-27,86.3335,0.59,Stevens01,19,27,ColorPanel
2-20,24.3385,4.55,CNJ082331,2,20,ColorPanel
2-22,50.2635,5.2,Stevens11,2,22,ColorPanel
2-23,77.0235,3.13,CNJ125614,2,23,ColorPanel
2-26,20.4975,2.89,Stevens19,2,26,ColorPanel
2-28,18.4105,0.65,CNJ0823315,2,28,ColorPanel
20-23,1.586,0.94,CNJ125831,20,23,ColorPanel
20-25,92.7205,11.75,CNJ125833,20,25,ColorPanel
20-27,61.828,3.72,No351635,20,27,ColorPanel
20-28,293.9835,10.86,BenLear1284,20,28,ColorPanel
3-20,38.4905,0.35,CNJ0823362,3,20,ColorPanel
3-25,0.793,0.41,CNJ0823358,3,25,ColorPanel
3-28,0.96,0.53,CNJ0823381,3,28,ColorPanel
4-20,7.0975,0.12,CNJ125650,4,20,ColorPanel
4-24,46.0885,1.54,Stevens09,4,24,ColorPanel
4-26,75.813,6.85,CNJ0423703,4,26,ColorPanel
4-27,2.755,NA,CNJ125656,4,27,ColorPanel
6-20,-16583.913,23532.66,CNJ125667,6,20,ColorPanel
6-25,178.219,9.62,CNJ125671,6,25,ColorPanel
6-26,24.255,1.83,CNJ125673,6,26,ColorPanel
6-27,37.1135,56.38,Stevens04,6,27,ColorPanel
6-28,3.465,0.65,CNJ0823371,6,28,ColorPanel
7-24,55.3985,1.83,Stevens08,7,24,ColorPanel
7-28,45.5045,2.72,CNJ0823319,7,28,ColorPanel
8-20,77.6915,3.48,Stevens02,8,20,ColorPanel
8-25,83.9955,2.48,CNJ1256108,8,25,ColorPanel
8-26,91.635,0.18,CNJ0823321,8,26,ColorPanel
9-24,77.483,5.67,CNJ0823324,9,24,ColorPanel
9-27,48.343,2.6,CNJ0823326,9,27,ColorPanel
