pH,Rep,Sample_code,Label,nm_520,nm_700,Date,Rx_min,Harvest,Year,Reps,Notes,Person
4.5,2,106-10,,0.738,0.081,18/10/24,20,1,2023,1,Reps came from juice,Ree
4.5,1,106-10,,0.748,0.088,18/10/24,20,1,2023,1,Reps came from juice,Ree
1,1,106-10,,3.27,0.092,18/10/24,20,1,2023,1,Reps came from juice,Ree
1,2,106-10,,3.402,0.133,18/10/24,20,1,2023,1,Reps came from juice,Ree
4.5,1,106-16,,2.098,0.162,18/10/24,20,1,2023,0,Only juice for 1 rep,Ree
1,1,106-16,,0.974,0.711,18/10/24,20,1,2023,0,Only juice for 1 rep,Ree
4.5,1,107-10,,0.744,0.124,18/10/24,20,1,2023,0,Only juice for 1 rep,Ree
1,1,107-10,,3.28,0.115,18/10/24,20,1,2023,0,Only juice for 1 rep,Ree
4.5,1,108-5,,0.179,0.107,18/10/24,20,1,2023,0,,Ree
4.5,2,108-5,,0.265,0.148,18/10/24,20,1,2023,0,,Ree
1,2,108-5,,0.325,0.118,18/10/24,20,1,2023,0,,Ree
1,1,108-5,,0.413,0.189,18/10/24,20,1,2023,0,,Ree
4.5,1,109-13,,0.364,0.121,18/10/24,20,1,2023,0,Only juice for 1 rep,Ree
1,1,109-13,,1.297,0.104,18/10/24,20,1,2023,0,Only juice for 1 rep,Ree
4.5,1,112-5,,0.202,0.068,18/10/24,20,1,2023,1,Only juice for 1 rep,Ree
1,1,112-5,,1.484,0.068,18/10/24,20,1,2023,1,Only juice for 1 rep,Ree
4.5,1,117-5,,0.289,0.088,18/10/24,20,1,2023,1,Only juice for 1 rep,Ree
1,1,117-5,,1.266,0.039,18/10/24,20,1,2023,1,Only juice for 1 rep,Ree
4.5,2,106-10,1,0.274,0.043,11/10/24,0,1,2023,0,,Drew
4.5,1,106-10,1,0.275,0.053,11/10/24,0,1,2023,0,,Drew
1,1,106-10,1,2.126,0.048,11/10/24,0,1,2023,0,,Drew
1,2,106-10,1,1.831,0.061,11/10/24,0,1,2023,0,,Drew
4.5,1,106-5,1,0.441,0.041,11/10/24,0,2,2023,0,,Drew
4.5,2,106-5,1,0.501,0.045,11/10/24,0,2,2023,0,,Drew
1,1,106-5,1,3.082,0.06,11/10/24,0,2,2023,0,,Drew
1,2,106-5,1,3.146,0.083,11/10/24,0,2,2023,0,,Drew
4.5,1,107-10,1,0.352,0.069,15/10/24,0,1,2023,0,,Drew
4.5,2,107-10,1,0.363,0.082,15/10/24,0,1,2023,0,,Drew
1,1,107-10,1,1.877,0.046,15/10/24,0,1,2023,0,,Drew
1,2,107-10,1,1.78,0.068,15/10/24,0,1,2023,0,,Drew
4.5,1,107-11,1,0.305,0.099,15/10/24,0,1,2023,0,,Drew
4.5,2,107-11,1,0.314,0.105,15/10/24,0,1,2023,0,,Drew
1,1,107-11,1,1.379,0.089,15/10/24,0,1,2023,0,,Drew
1,2,107-11,1,1.353,0.093,15/10/24,0,1,2023,0,,Drew
4.5,2,107-13,1,0.134,0.078,15/10/24,0,1,2023,0,,Drew
4.5,1,107-13,1,0.145,0.086,15/10/24,0,1,2023,0,,Drew
1,2,107-13,1,0.17,0.1,15/10/24,0,1,2023,0,,Drew
1,1,107-13,1,0.163,0.102,15/10/24,0,1,2023,0,Both tubes are 13 g,Drew
4.5,1,107-5,1,0.637,0.069,14/10/24,0,2,2023,0,,Drew
4.5,2,107-5,1,0.633,0.076,14/10/24,0,2,2023,0,,Drew
1,2,107-5,1,3.563,0.052,14/10/24,0,2,2023,0,,Drew
1,1,107-5,1,3.536,0.079,14/10/24,0,2,2023,0,,Drew
4.5,2,108-1,1,0.133,0.061,14/10/24,0,1,2023,0,,Drew
4.5,1,108-1,1,0.159,0.078,14/10/24,0,1,2023,0,,Drew
1,2,108-1,1,0.328,0.086,14/10/24,0,1,2023,0,,Drew
1,1,108-1,1,0.352,0.102,14/10/24,0,1,2023,0,,Drew
4.5,1,108-16,1,0.441,0.128,15/10/24,0,2,2023,1,,Drew
4.5,2,108-16,1,0.462,0.13,15/10/24,0,2,2023,1,,Drew
1,2,108-16,1,1.745,0.075,15/10/24,0,2,2023,1,,Drew
1,1,108-16,1,2.22,0.11,15/10/24,0,2,2023,1,All reps came from 1 tube,Drew
4.5,1,108-5,1,0.17,0.096,11/10/24,0,2,2023,0,,Drew
1,2,108-5,1,0.193,0.06,11/10/24,0,2,2023,0,,Drew
1,1,108-5,1,0.286,0.085,11/10/24,0,2,2023,0,,Drew
4.5,2,108-5,1,0.183,0.11,11/10/24,0,2,2023,0,,Drew
4.5,1,109-1,1,0.288,0.069,15/10/24,0,1,2023,0,,Drew
4.5,2,109-1,1,0.332,0.089,15/10/24,0,1,2023,0,,Drew
1,1,109-1,1,1.473,0.074,15/10/24,0,1,2023,0,,Drew
1,2,109-1,1,1.28,0.075,15/10/24,0,1,2023,0,,Drew
4.5,1,109-10,1,0.172,0.052,15/10/24,0,1,2023,0,,Drew
4.5,2,109-10,1,0.369,0.09,15/10/24,0,1,2023,0,,Drew
1,1,109-10,1,0.777,0.046,15/10/24,0,1,2023,0,,Drew
1,2,109-10,1,0.97,0.06,15/10/24,0,1,2023,0,,Drew
4.5,1,109-13,1,0.226,0.09,15/10/24,0,1,2023,0,,Drew
4.5,2,109-13,1,0.291,0.115,15/10/24,0,1,2023,0,,Drew
1,1,109-13,1,0.719,0.073,15/10/24,0,1,2023,0,,Drew
1,2,109-13,1,0.825,0.089,15/10/24,0,1,2023,0,,Drew
4.5,1,109-5,1,0.529,0.062,14/10/24,0,2,2023,0,,Drew
4.5,2,109-5,1,0.584,0.075,14/10/24,0,2,2023,0,,Drew
1,1,109-5,1,3.34,0.028,14/10/24,0,2,2023,0,,Drew
1,2,109-5,1,3.747,0.036,14/10/24,0,2,2023,0,,Drew
4.5,1,110-10,1,0.628,0.241,15/10/24,0,1,2023,1,,Drew
4.5,2,110-10,1,0.786,0.279,15/10/24,0,1,2023,1,,Drew
1,2,110-10,1,1.613,0.176,15/10/24,0,1,2023,1,,Drew
1,1,110-10,1,1.631,0.186,15/10/24,0,1,2023,1,Less than 20 g,Drew
4.5,2,110-13,1,0.17,0.053,14/10/24,0,1,2023,0,,Drew
4.5,1,110-13,1,0.239,0.097,14/10/24,0,1,2023,0,,Drew
1,1,110-13,1,0.802,0.06,14/10/24,0,1,2023,0,,Drew
1,2,110-13,1,0.852,0.071,14/10/24,0,1,2023,0,,Drew
4.5,1,110-16,1,0.503,0.148,15/10/24,0,2,2023,0,,Drew
4.5,2,110-16,1,0.622,0.184,15/10/24,0,2,2023,0,,Drew
1,1,110-16,1,2.081,0.142,15/10/24,0,2,2023,0,,Drew
