Run,Assay Type,AvgSpotLen,Bases,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,BioProject,Library Name,tissue,geo_loc_name_country,geo_loc_name_country_continent,BioSampleModel,geo_loc_name,Cultivar,dev_stage,AGE,Ecotype,isolate,Collection_Date,treatment,BIOMATERIAL_PROVIDER,collected_by,disease,replicate,sample_type,disease_stage,temp,cell_type,Replicate_and_Read,sex,GEO_Accession (exp),source_name,ID,tmp,growth_protocol,Sample_Name,agent,common_name,ENA-FIRST-PUBLIC (run),ENA_first_public,ENA-LAST-UPDATE (run),ENA_last_update,external_id,genotype,geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),growth_facility,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,isolation_and_growth_condition,organism_common_name,plant_developmental_stage,plant_growth_medium,plant_structure,Source_material_identifiers,Submitter_Id,pair_end_sequencing,aliquot,BREED,coded/blinded_study_arm,Sample_id,strain,test_day,time_of_blood_draw,unblinded_study_arm,Host,isolation_source,Biological_Replicate,differentiation,plant_treatment,=replicate,paried,replicated,host_strain,infection_timepoint,phage,breeding_method,lat_lon,height_or_length,N,air_temp_regm,altitude,antibiotic_regm,env_broad_scale,env_local_scale,env_medium,source_uvig,virus_enrich_appr,humidity,Temperature_Range,tissues,age_units,Annual.household.income..Biospecimen.,Anti.infective..Biospecimen.,Autism.spectrum.disorder..Biospecimen.,Average.conc..Extract.,Batch..OmicsFileSet.,Behavior.video.submitted..M3...Biospecimen.,Biospecimen.Barcode,Biospecimen.consumption,Biospecimen.consumption.unit,Biospecimen.Date.Collected,Biospecimen.Description,Biospecimen.ID,Biospecimen.location..Extract.,Biospecimen.mass,Biospecimen.mass.unit,Biospecimen.Name,Born.by.caesarian.section..Biospecimen.,Born.prematurely..Biospecimen.,Conc1..Extract.,Conc2..Extract.,Constipation..Biospecimen.,Conversation.ability..Biospecimen.,Dairy..consumption.frequency...Biospecimen.,Developmental_stage,Diarrhea..Biospecimen.,Diet.during.infancy..Biospecimen.,Dietary.regime..Biospecimen.,Dietary.restrictions..M3...Biospecimen.,Dietary.restrictions.details..M3...Biospecimen.,Dietary.supplement..Biospecimen.,Environmental.tobacco.smoke.exposure..Biospecimen.,Extract.Barcode,Extract.concentration,Extract.concentration.unit
SRR7879248,AMPLICON,1528,1528,SAMN10093659,53964,USDA,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4717895,AB 5500 Genetic Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Vaccinium,ABI_SOLID,2019-10-07T00:00:00Z,2018-11-26T15:53:00Z,4,JR-ACY-B-cDNA,SRP124808,PRJNA415197,JR-B-Acyl,Fruit,USA,North America,Plant,USA,T300-B,Fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR7879249,AMPLICON,1512,1512,SAMN10093658,53179,USDA,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4717894,AB 5500 Genetic Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Vaccinium,ABI_SOLID,2019-10-07T00:00:00Z,2018-11-26T15:59:00Z,4,JR-ACY-A-cDNA,SRP124808,PRJNA415197,JR-A-Acyl,Fruit,USA,North America,Plant,USA,T300-A,Fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR7879250,AMPLICON,1528,1528,SAMN10093660,53958,USDA,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4717893,AB 5500 Genetic Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Vaccinium,ABI_SOLID,2019-10-07T00:00:00Z,2018-11-26T15:54:00Z,4,JR-ACY-C-cNDA,SRP124808,PRJNA415197,JR-C-Acyl,Fruit,USA,North America,Plant,USA,T300-C,Fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR8371779,RNA-Seq,250,972549750,SAMN10651405,353056512,KAILI UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5181919,Illumina HiSeq 2000,PAIRED,RANDOM,TRANSCRIPTOMIC,Vaccinium corymbosum,ILLUMINA,2019-10-31T00:00:00Z,2018-12-27T01:32:00Z,1,Northern highbush blueberry11,SRP174513,PRJNA511922,BLUEBERRY_43,leaf,uncalculated,uncalculated,Plant,not collected,blueray,young,about 5 years,not applicable,leaf,,,Nie Fei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR8371780,RNA-Seq,250,1087655000,SAMN10651406,386569447,KAILI UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5181918,Illumina HiSeq 2000,PAIRED,RANDOM,TRANSCRIPTOMIC,Vaccinium corymbosum,ILLUMINA,2019-10-31T00:00:00Z,2018-12-27T01:32:00Z,1,Northern highbush blueberry12,SRP174513,PRJNA511922,BLUEBERRY_44,leaf,uncalculated,uncalculated,Plant,not collected,blue south,young,about 5 years,not applicable,leaf,,,Nie Fei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR8371781,RNA-Seq,250,1846605500,SAMN10651403,654186568,KAILI UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5181917,Illumina HiSeq 2000,PAIRED,RANDOM,TRANSCRIPTOMIC,Vaccinium corymbosum,ILLUMINA,2019-10-31T00:00:00Z,2018-12-27T01:34:00Z,1,Northern highbush blueberry9,SRP174513,PRJNA511922,BLUEBERRY_41,leaf,uncalculated,uncalculated,Plant,not collected,bignanjin,young,about 5 years,not applicable,leaf,,,Nie Fei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR8371782,RNA-Seq,250,1077285250,SAMN10651404,430828762,KAILI UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5181916,Illumina HiSeq 2000,PAIRED,RANDOM,TRANSCRIPTOMIC,Vaccinium corymbosum,ILLUMINA,2019-10-31T00:00:00Z,2018-12-27T01:33:00Z,1,Northern highbush blueberry10,SRP174513,PRJNA511922,BLUEBERRY_42,leaf,uncalculated,uncalculated,Plant,not collected,collins,young,about 5 years,not applicable,leaf,,,Nie Fei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR8371783,RNA-Seq,250,1375507250,SAMN10651409,563156402,KAILI UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5181915,Illumina HiSeq 2000,PAIRED,RANDOM,TRANSCRIPTOMIC,Vaccinium corymbosum,ILLUMINA,2019-10-31T00:00:00Z,2018-12-27T01:33:00Z,1,Northern highbush blueberry15,SRP174513,PRJNA511922,BLUEBERRY_47,leaf,uncalculated,uncalculated,Plant,not collected,sunrise,young,about 5 years,not applicable,leaf,,,Nie Fei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR8371784,RNA-Seq,250,1254900000,SAMN10651410,497423564,KAILI UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5181914,Illumina HiSeq 2000,PAIRED,RANDOM,TRANSCRIPTOMIC,Vaccinium corymbosum,ILLUMINA,2019-10-31T00:00:00Z,2018-12-27T01:33:00Z,1,Northern highbush blueberry16,SRP174513,PRJNA511922,BLUEBERRY_48,leaf,uncalculated,uncalculated,Plant,not collected,olympic,young,about 5 years,not applicable,leaf,,,Nie Fei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR8371785,RNA-Seq,250,1559603000,SAMN10651407,653523025,KAILI UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5181913,Illumina HiSeq 2000,PAIRED,RANDOM,TRANSCRIPTOMIC,Vaccinium corymbosum,ILLUMINA,2019-10-31T00:00:00Z,2018-12-27T01:33:00Z,1,Northern highbush blueberry13,SRP174513,PRJNA511922,BLUEBERRY_45,leaf,uncalculated,uncalculated,Plant,not collected,jersey,young,about 5 years,not applicable,leaf,,,Nie Fei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
