"","RAPiD Genomics Sample Code","Unique Client Code"
"2","VAC_155005_P001_WA01","#35"
"3","VAC_155005_P001_WA02","Budd's Blues"
"4","VAC_155005_P001_WA03","Howes"
"5","VAC_155005_P001_WA04","ST"
"6","VAC_155005_P001_WA05","YBS02"
"7","VAC_155005_P001_WA06","YBS12"
"8","VAC_155005_P001_WA07","YBS21"
"9","VAC_155005_P001_WA08","MG12"
"10","VAC_155005_P001_WA09","QS05"
"11","VAC_155005_P001_WA10","WC12-006"
"12","VAC_155005_P001_WA11","WC12-101"
"13","VAC_155005_P001_WA12","WC12-153"
"14","VAC_155005_P001_WB01","Bain Fav. #1"
"15","VAC_155005_P001_WB02","Crimson Queen"
"16","VAC_155005_P001_WB03","HyRed"
"17","VAC_155005_P001_WB04","Sundance"
"18","VAC_155005_P001_WB05","YBS05"
"19","VAC_155005_P001_WB06","YBS13"
"20","VAC_155005_P001_WB07","YBS22"
"21","VAC_155005_P001_WB08","Murphy's Green (a)"
"22","VAC_155005_P001_WB09","QS06"
"23","VAC_155005_P001_WB10","WC12-008"
"24","VAC_155005_P001_WB11","WC12-104"
"25","VAC_155005_P001_WB12","WC12-199"
"26","VAC_155005_P001_WC01","BE4"
"27","VAC_155005_P001_WC02","D07"
"28","VAC_155005_P001_WC03","J21"
"29","VAC_155005_P001_WC04","V07"
"30","VAC_155005_P001_WC05","YBS06"
"31","VAC_155005_P001_WC06","YBS14"
"32","VAC_155005_P001_WC07","YBS23"
"33","VAC_155005_P001_WC08","Murphy's Green"
"34","VAC_155005_P001_WC09","QS07"
"35","VAC_155005_P001_WC10","WC12-012"
"36","VAC_155005_P001_WC11","WC12-110"
"37","VAC_155005_P001_WC12","WC12-221"
"38","VAC_155005_P001_WD01","Ben Lear"
"39","VAC_155005_P001_WD02","Demoranville"
"40","VAC_155005_P001_WD03","LoRed"
"41","VAC_155005_P001_WD04","V11"
"42","VAC_155005_P001_WD05","YBS07"
"43","VAC_155005_P001_WD06","YBS16"
"44","VAC_155005_P001_WD07","MG02"
"45","VAC_155005_P001_WD08","CNJ10-4-9"
"46","VAC_155005_P001_WD09","QS08"
"47","VAC_155005_P001_WD10","WC12-014"
"48","VAC_155005_P001_WD11","WC12-112"
"49","VAC_155005_P001_WD12","WC12-232"
"50","VAC_155005_P001_WE01","Bergman"
"51","VAC_155005_P001_WE02","Early Black"
"52","VAC_155005_P001_WE03","Mullica Queen"
"53","VAC_155005_P001_WE04","Wilcox"
"54","VAC_155005_P001_WE05","YBS08"
"55","VAC_155005_P001_WE06","YBS17"
"56","VAC_155005_P001_WE07","MG03"
"57","VAC_155005_P001_WE08","QS01"
"58","VAC_155005_P001_WE09","DP14"
"59","VAC_155005_P001_WE10","WC12-017"
"60","VAC_155005_P001_WE11","WC12-114"
"61","VAC_155005_P001_WE12","WC12-280"
"62","VAC_155005_P001_WF01","BG"
"63","VAC_155005_P001_WF02","Franklin"
"64","VAC_155005_P001_WF03","Pilgrim King"
"65","VAC_155005_P001_WF04","WSU108"
"66","VAC_155005_P001_WF05","YBS09"
"67","VAC_155005_P001_WF06","YBS18"
"68","VAC_155005_P001_WF07","MG04"
"69","VAC_155005_P001_WF08","QS02"
"70","VAC_155005_P001_WF09","DP17"
"71","VAC_155005_P001_WF10","WC12-032"
"72","VAC_155005_P001_WF11","WC12-131"
"73","VAC_155005_P001_WF12","WC12-288"
"74","VAC_155005_P001_WG01","BG48"
"75","VAC_155005_P001_WG02","GH1"
"76","VAC_155005_P001_WG03","Potter's Favorite"
"77","VAC_155005_P001_WG04","Yellow Bell"
"78","VAC_155005_P001_WG05","YBS10"
"79","VAC_155005_P001_WG06","YBS19"
"80","VAC_155005_P001_WG07","MG07"
"81","VAC_155005_P001_WG08","QS03"
"82","VAC_155005_P001_WG09","WC16-026"
"83","VAC_155005_P001_WG10","WC12-090"
"84","VAC_155005_P001_WG11","WC12-132"
"86","VAC_155005_P001_WH01","BG-Yellow"
"87","VAC_155005_P001_WH02","Harju"
"88","VAC_155005_P001_WH03","Ruby Star"
"89","VAC_155005_P001_WH04","YBS01"
"90","VAC_155005_P001_WH05","YBS11"
"91","VAC_155005_P001_WH06","YBS20"
"92","VAC_155005_P001_WH07","MG09"
"93","VAC_155005_P001_WH08","QS04"
"94","VAC_155005_P001_WH09","WC12-001"
"95","VAC_155005_P001_WH10","WC12-091"
"96","VAC_155005_P001_WH11","WC12-133"
"98","VAC_155005_P002_WA01","WC12-332"
"99","VAC_155005_P002_WA02","WC16-027"
"100","VAC_155005_P002_WA03","WC16-043"
"101","VAC_155005_P002_WA04","WC16-061"
"102","VAC_155005_P002_WA05","WC16-072"
"103","VAC_155005_P002_WA06","D8S"
"104","VAC_155005_P002_WA07","BL19"
"105","VAC_155005_P002_WA08","Chip17"
"106","VAC_155005_P002_WA09","HAWL05"
"107","VAC_155005_P002_WA10","LL14"
"108","VAC_155005_P002_WA11","LRL02"
"109","VAC_155005_P002_WA12","PMW02"
"110","VAC_155005_P002_WB01","WC12-1190"
"111","VAC_155005_P002_WB02","WC16-029"
"112","VAC_155005_P002_WB03","WC16-049"
"113","VAC_155005_P002_WB04","WC16-062"
"114","VAC_155005_P002_WB05","WC16-073"
"115","VAC_155005_P002_WB06","BL03"
"116","VAC_155005_P002_WB07","BLM01"
"117","VAC_155005_P002_WB08","FRLK12"
"118","VAC_155005_P002_WB09","HW05"
"119","VAC_155005_P002_WB10","LL15"
"120","VAC_155005_P002_WB11","LRL03"
"121","VAC_155005_P002_WB12","PMW16"
"122","VAC_155005_P002_WC01","WC16-004"
"123","VAC_155005_P002_WC02","WC16-034"
"124","VAC_155005_P002_WC03","WC16-051"
"125","VAC_155005_P002_WC04","WC16-063"
"126","VAC_155005_P002_WC05","WC17-001"
"127","VAC_155005_P002_WC06","BL04"
"128","VAC_155005_P002_WC07","Chip01"
"129","VAC_155005_P002_WC08","GYPL17"
"130","VAC_155005_P002_WC09","HW12"
"131","VAC_155005_P002_WC10","LOLM01"
"132","VAC_155005_P002_WC11","LRL04"
"133","VAC_155005_P002_WC12","PMW20"
"134","VAC_155005_P002_WD01","WC16-011"
"135","VAC_155005_P002_WD02","WC16-036"
"136","VAC_155005_P002_WD03","WC16-054"
"137","VAC_155005_P002_WD04","WC16-066"
"138","VAC_155005_P002_WD05","WC17-002"
"139","VAC_155005_P002_WD06","BL05"
"140","VAC_155005_P002_WD07","Chip03"
"141","VAC_155005_P002_WD08","GYPL18"
"142","VAC_155005_P002_WD09","KLB17"
"143","VAC_155005_P002_WD10","LOLM03"
"144","VAC_155005_P002_WD11","LRL05"
"145","VAC_155005_P002_WD12","SEB15"
"146","VAC_155005_P002_WE01","WC16-014"
"147","VAC_155005_P002_WE02","WC16-037"
"148","VAC_155005_P002_WE03","WC16-056"
"149","VAC_155005_P002_WE04","WC16-067"
"150","VAC_155005_P002_WE05","WC17-003"
"151","VAC_155005_P002_WE06","BL09"
"152","VAC_155005_P002_WE07","Chip05"
